start,end,length
2022-01-07 09:00:00,2022-01-07 11:00:00,3
2022-01-07 13:00:00,2022-01-07 13:00:00,1
2022-01-07 15:00:00,2022-01-07 17:00:00,3
2022-01-07 23:00:00,2022-01-10 23:00:00,73
2022-01-11 01:00:00,2022-01-11 03:00:00,3
2022-01-11 05:00:00,2022-01-11 06:00:00,2
2022-01-11 08:00:00,2022-01-11 20:00:00,13
2022-01-11 23:00:00,2022-01-12 23:00:00,25
2022-02-07 09:00:00,2022-02-07 11:00:00,3
2022-02-07 13:00:00,2022-02-07 13:00:00,1
2022-02-07 15:00:00,2022-02-07 17:00:00,3
2022-02-08 00:00:00,2022-02-10 23:00:00,72
2022-02-11 01:00:00,2022-02-11 03:00:00,3
2022-02-11 05:00:00,2022-02-11 06:00:00,2
2022-02-11 08:00:00,2022-02-11 20:00:00,13
2022-02-11 23:00:00,2022-02-12 23:00:00,25
2022-03-07 09:00:00,2022-03-07 11:00:00,3
2022-03-07 13:00:00,2022-03-07 13:00:00,1
2022-03-07 15:00:00,2022-03-07 17:00:00,3
2022-03-08 00:00:00,2022-03-10 23:00:00,72
2022-03-11 01:00:00,2022-03-11 03:00:00,3
2022-03-11 05:00:00,2022-03-11 16:00:00,12
2022-03-11 19:00:00,2022-03-11 20:00:00,2
2022-03-11 23:00:00,2022-03-12 23:00:00,25
2022-04-07 09:00:00,2022-04-07 11:00:00,3
2022-04-07 13:00:00,2022-04-07 13:00:00,1
2022-04-07 15:00:00,2022-04-07 17:00:00,3
2022-04-08 00:00:00,2022-04-10 23:00:00,72
2022-04-11 01:00:00,2022-04-11 03:00:00,3
2022-04-11 05:00:00,2022-04-11 05:00:00,1
2022-04-11 07:00:00,2022-04-11 16:00:00,10
2022-04-11 19:00:00,2022-04-11 19:00:00,1
2022-04-12 00:00:00,2022-04-12 23:00:00,24
2022-05-07 09:00:00,2022-05-07 11:00:00,3
2022-05-07 13:00:00,2022-05-07 13:00:00,1
2022-05-07 15:00:00,2022-05-07 17:00:00,3
2022-05-08 00:00:00,2022-05-10 23:00:00,72
2022-05-11 07:00:00,2022-05-11 18:00:00,12
2022-05-11 22:00:00,2022-05-11 22:00:00,1
2022-05-12 00:00:00,2022-05-12 23:00:00,24
2022-06-07 08:00:00,2022-06-07 11:00:00,4
2022-06-07 13:00:00,2022-06-07 13:00:00,1
2022-06-07 15:00:00,2022-06-07 17:00:00,3
2022-06-08 00:00:00,2022-06-10 23:00:00,72
2022-06-11 07:00:00,2022-06-11 18:00:00,12
2022-06-11 21:00:00,2022-06-11 21:00:00,1
2022-06-12 00:00:00,2022-06-12 23:00:00,24
2022-06-13 05:00:00,2022-06-13 07:00:00,3
2022-06-13 11:00:00,2022-06-13 12:00:00,2
2022-06-13 16:00:00,2022-06-13 16:00:00,1
2022-06-13 21:00:00,2022-06-13 22:00:00,2
2022-06-14 05:00:00,2022-06-14 05:00:00,1
2022-06-14 12:00:00,2022-06-14 12:00:00,1
2022-06-14 16:00:00,2022-06-14 16:00:00,1
2022-06-14 21:00:00,2022-06-14 22:00:00,2
2022-06-15 05:00:00,2022-06-15 05:00:00,1
2022-06-15 12:00:00,2022-06-15 12:00:00,1
2022-06-15 16:00:00,2022-06-15 16:00:00,1
2022-06-15 21:00:00,2022-06-15 22:00:00,2
2022-06-16 05:00:00,2022-06-16 05:00:00,1
2022-06-16 11:00:00,2022-06-16 12:00:00,2
2022-06-16 16:00:00,2022-06-16 16:00:00,1
2022-06-16 21:00:00,2022-06-16 22:00:00,2
2022-06-17 05:00:00,2022-06-17 05:00:00,1
2022-06-17 12:00:00,2022-06-17 12:00:00,1
2022-06-17 16:00:00,2022-06-17 16:00:00,1
2022-06-17 21:00:00,2022-06-18 00:00:00,4
2022-06-18 05:00:00,2022-06-18 05:00:00,1
2022-06-18 12:00:00,2022-06-18 12:00:00,1
2022-06-18 16:00:00,2022-06-18 16:00:00,1
2022-06-18 21:00:00,2022-06-18 23:00:00,3
2022-06-19 05:00:00,2022-06-19 05:00:00,1
2022-06-19 12:00:00,2022-06-19 12:00:00,1
2022-06-19 16:00:00,2022-06-19 16:00:00,1
2022-06-19 21:00:00,2022-06-19 23:00:00,3
2022-06-20 05:00:00,2022-06-20 05:00:00,1
2022-06-20 12:00:00,2022-06-20 12:00:00,1
2022-06-20 16:00:00,2022-06-20 16:00:00,1
2022-06-20 21:00:00,2022-06-20 23:00:00,3
2022-06-21 05:00:00,2022-06-21 05:00:00,1
2022-06-21 12:00:00,2022-06-21 12:00:00,1
2022-06-21 16:00:00,2022-06-21 16:00:00,1
2022-06-21 21:00:00,2022-06-21 23:00:00,3
2022-06-22 05:00:00,2022-06-22 05:00:00,1
2022-06-22 12:00:00,2022-06-22 12:00:00,1
2022-06-22 16:00:00,2022-06-22 17:00:00,2
2022-06-22 21:00:00,2022-06-22 23:00:00,3
2022-06-23 05:00:00,2022-06-23 05:00:00,1
2022-06-23 12:00:00,2022-06-23 12:00:00,1
2022-06-23 16:00:00,2022-06-23 17:00:00,2
2022-06-23 21:00:00,2022-06-23 23:00:00,3
2022-06-24 05:00:00,2022-06-24 05:00:00,1
2022-06-24 10:00:00,2022-06-24 10:00:00,1
2022-06-24 12:00:00,2022-06-24 12:00:00,1
2022-06-24 15:00:00,2022-06-24 17:00:00,3
2022-06-24 21:00:00,2022-06-24 23:00:00,3
2022-06-25 05:00:00,2022-06-25 05:00:00,1
2022-06-25 10:00:00,2022-06-25 10:00:00,1
2022-06-25 15:00:00,2022-06-25 17:00:00,3
2022-06-25 21:00:00,2022-06-25 23:00:00,3
2022-06-26 05:00:00,2022-06-26 05:00:00,1
2022-06-26 10:00:00,2022-06-26 10:00:00,1
2022-06-26 15:00:00,2022-06-26 17:00:00,3
2022-06-26 21:00:00,2022-06-26 23:00:00,3
2022-06-27 05:00:00,2022-06-27 05:00:00,1
2022-06-27 09:00:00,2022-06-27 11:00:00,3
2022-06-27 15:00:00,2022-06-27 17:00:00,3
2022-06-27 23:00:00,2022-06-27 23:00:00,1
2022-06-28 09:00:00,2022-06-28 10:00:00,2
2022-06-28 15:00:00,2022-06-28 17:00:00,3
2022-06-28 23:00:00,2022-06-28 23:00:00,1
2022-06-29 10:00:00,2022-06-29 10:00:00,1
2022-06-29 15:00:00,2022-06-29 17:00:00,3
2022-06-29 23:00:00,2022-06-29 23:00:00,1
2022-06-30 09:00:00,2022-06-30 10:00:00,2
2022-06-30 13:00:00,2022-06-30 13:00:00,1
2022-06-30 15:00:00,2022-06-30 17:00:00,3
2022-06-30 23:00:00,2022-06-30 23:00:00,1
2022-07-06 16:00:00,2022-07-06 16:00:00,1
2022-07-07 08:00:00,2022-07-07 13:00:00,6
2022-07-07 15:00:00,2022-07-07 16:00:00,2
2022-07-08 00:00:00,2022-07-09 18:00:00,43
2022-07-10 00:00:00,2022-07-10 23:00:00,24
2022-07-11 07:00:00,2022-07-11 18:00:00,12
2022-07-11 21:00:00,2022-07-11 21:00:00,1
2022-07-12 00:00:00,2022-07-12 23:00:00,24
2022-07-13 08:00:00,2022-07-13 08:00:00,1
2022-07-13 11:00:00,2022-07-13 13:00:00,3
2022-07-13 15:00:00,2022-07-13 16:00:00,2
2022-07-14 08:00:00,2022-07-14 08:00:00,1
2022-07-14 11:00:00,2022-07-14 13:00:00,3
2022-07-14 15:00:00,2022-07-14 16:00:00,2
2022-07-15 08:00:00,2022-07-15 08:00:00,1
2022-07-15 11:00:00,2022-07-15 13:00:00,3
2022-07-15 15:00:00,2022-07-15 16:00:00,2
2022-07-16 08:00:00,2022-07-16 08:00:00,1
2022-07-16 12:00:00,2022-07-16 13:00:00,2
2022-07-16 15:00:00,2022-07-16 16:00:00,2
2022-07-17 08:00:00,2022-07-17 08:00:00,1
2022-07-17 12:00:00,2022-07-17 13:00:00,2
2022-07-17 15:00:00,2022-07-17 16:00:00,2
2022-07-18 08:00:00,2022-07-18 08:00:00,1
2022-07-18 12:00:00,2022-07-18 13:00:00,2
2022-07-18 15:00:00,2022-07-18 16:00:00,2
2022-07-19 08:00:00,2022-07-19 08:00:00,1
2022-07-19 12:00:00,2022-07-19 13:00:00,2
2022-07-20 01:00:00,2022-07-20 01:00:00,1
2022-07-20 08:00:00,2022-07-20 08:00:00,1
2022-07-20 12:00:00,2022-07-20 15:00:00,4
2022-07-21 01:00:00,2022-07-21 01:00:00,1
2022-07-21 12:00:00,2022-07-21 13:00:00,2
2022-07-22 01:00:00,2022-07-22 01:00:00,1
2022-07-22 12:00:00,2022-07-22 13:00:00,2
2022-07-23 01:00:00,2022-07-23 01:00:00,1
2022-07-23 12:00:00,2022-07-23 13:00:00,2
2022-07-24 01:00:00,2022-07-24 01:00:00,1
2022-07-24 12:00:00,2022-07-24 13:00:00,2
2022-07-25 01:00:00,2022-07-25 01:00:00,1
2022-07-25 12:00:00,2022-07-25 13:00:00,2
2022-07-25 18:00:00,2022-07-31 23:00:00,150
2022-08-07 07:00:00,2022-08-07 13:00:00,7
2022-08-07 15:00:00,2022-08-07 16:00:00,2
2022-08-08 00:00:00,2022-08-08 23:00:00,24
2022-08-09 05:00:00,2022-08-09 05:00:00,1
2022-08-09 08:00:00,2022-08-10 23:00:00,40
2022-08-11 07:00:00,2022-08-11 18:00:00,12
2022-08-11 21:00:00,2022-08-11 21:00:00,1
2022-08-12 00:00:00,2022-08-31 23:00:00,480
2022-09-07 08:00:00,2022-09-07 13:00:00,6
2022-09-07 15:00:00,2022-09-07 16:00:00,2
2022-09-08 00:00:00,2022-09-10 23:00:00,72
2022-09-11 07:00:00,2022-09-11 19:00:00,13
2022-09-11 21:00:00,2022-09-30 23:00:00,459
2022-10-06 12:00:00,2022-10-06 12:00:00,1
2022-10-06 16:00:00,2022-10-06 16:00:00,1
2022-10-07 08:00:00,2022-10-07 13:00:00,6
2022-10-07 15:00:00,2022-10-07 16:00:00,2
2022-10-08 00:00:00,2022-10-11 05:00:00,78
2022-10-11 07:00:00,2022-10-11 19:00:00,13
2022-10-11 21:00:00,2022-10-12 23:00:00,27
2022-10-13 01:00:00,2022-10-13 06:00:00,6
2022-10-13 08:00:00,2022-10-13 12:00:00,5
2022-10-13 14:00:00,2022-10-13 15:00:00,2
2022-10-13 17:00:00,2022-10-13 20:00:00,4
2022-10-13 23:00:00,2022-10-13 23:00:00,1
2022-10-14 01:00:00,2022-10-14 06:00:00,6
2022-10-14 08:00:00,2022-10-14 12:00:00,5
2022-10-14 14:00:00,2022-10-14 15:00:00,2
2022-10-14 17:00:00,2022-10-14 20:00:00,4
2022-10-14 23:00:00,2022-10-14 23:00:00,1
2022-10-15 01:00:00,2022-10-15 06:00:00,6
2022-10-15 08:00:00,2022-10-15 12:00:00,5
2022-10-15 14:00:00,2022-10-15 15:00:00,2
2022-10-15 17:00:00,2022-10-15 20:00:00,4
2022-10-15 23:00:00,2022-10-15 23:00:00,1
2022-10-16 01:00:00,2022-10-16 06:00:00,6
2022-10-16 08:00:00,2022-10-16 12:00:00,5
2022-10-16 14:00:00,2022-10-16 15:00:00,2
2022-10-16 17:00:00,2022-10-16 20:00:00,4
2022-10-16 23:00:00,2022-10-16 23:00:00,1
2022-10-17 01:00:00,2022-10-17 06:00:00,6
2022-10-17 08:00:00,2022-10-17 15:00:00,8
2022-10-17 17:00:00,2022-10-17 20:00:00,4
2022-10-17 23:00:00,2022-10-17 23:00:00,1
2022-10-18 01:00:00,2022-10-18 06:00:00,6
2022-10-18 08:00:00,2022-10-18 15:00:00,8
2022-10-18 17:00:00,2022-10-18 20:00:00,4
2022-10-18 23:00:00,2022-10-18 23:00:00,1
2022-10-19 01:00:00,2022-10-19 06:00:00,6
2022-10-19 08:00:00,2022-10-19 20:00:00,13
2022-10-19 23:00:00,2022-10-19 23:00:00,1
2022-10-20 01:00:00,2022-10-20 06:00:00,6
2022-10-20 08:00:00,2022-10-20 15:00:00,8
2022-10-20 17:00:00,2022-10-20 20:00:00,4
2022-10-20 23:00:00,2022-10-20 23:00:00,1
2022-10-21 01:00:00,2022-10-21 06:00:00,6
2022-10-21 08:00:00,2022-10-21 15:00:00,8
2022-10-21 17:00:00,2022-10-21 20:00:00,4
2022-10-21 23:00:00,2022-10-21 23:00:00,1
2022-10-22 01:00:00,2022-10-22 06:00:00,6
2022-10-22 08:00:00,2022-10-22 15:00:00,8
2022-10-22 17:00:00,2022-10-22 20:00:00,4
2022-10-22 23:00:00,2022-10-22 23:00:00,1
2022-10-23 01:00:00,2022-10-23 06:00:00,6
2022-10-23 08:00:00,2022-10-23 15:00:00,8
2022-10-23 17:00:00,2022-10-23 20:00:00,4
2022-10-23 23:00:00,2022-10-23 23:00:00,1
2022-10-24 01:00:00,2022-10-24 06:00:00,6
2022-10-24 08:00:00,2022-10-24 20:00:00,13
2022-10-24 23:00:00,2022-10-24 23:00:00,1
2022-10-25 01:00:00,2022-10-25 06:00:00,6
2022-10-25 08:00:00,2022-10-25 15:00:00,8
2022-10-25 17:00:00,2022-10-25 20:00:00,4
2022-10-25 23:00:00,2022-10-25 23:00:00,1
2022-10-26 01:00:00,2022-10-26 15:00:00,15
2022-10-26 17:00:00,2022-10-26 20:00:00,4
2022-10-26 23:00:00,2022-10-26 23:00:00,1
2022-10-27 01:00:00,2022-10-27 06:00:00,6
2022-10-27 08:00:00,2022-10-27 15:00:00,8
2022-10-27 17:00:00,2022-10-27 20:00:00,4
2022-10-27 23:00:00,2022-10-27 23:00:00,1
2022-10-28 01:00:00,2022-10-28 06:00:00,6
2022-10-28 08:00:00,2022-10-28 15:00:00,8
2022-10-28 17:00:00,2022-10-28 20:00:00,4
2022-10-28 23:00:00,2022-10-28 23:00:00,1
2022-10-29 01:00:00,2022-10-29 06:00:00,6
2022-10-29 08:00:00,2022-10-29 15:00:00,8
2022-10-29 17:00:00,2022-10-29 20:00:00,4
2022-10-29 23:00:00,2022-10-29 23:00:00,1
2022-10-30 01:00:00,2022-10-30 03:00:00,3
2022-10-30 05:00:00,2022-10-30 06:00:00,2
2022-10-30 08:00:00,2022-10-30 15:00:00,8
2022-10-30 17:00:00,2022-10-30 20:00:00,4
2022-10-30 23:00:00,2022-10-30 23:00:00,1
2022-10-31 01:00:00,2022-10-31 03:00:00,3
2022-10-31 05:00:00,2022-10-31 06:00:00,2
2022-10-31 08:00:00,2022-10-31 20:00:00,13
2022-10-31 23:00:00,2022-10-31 23:00:00,1
2022-11-06 12:00:00,2022-11-06 12:00:00,1
2022-11-06 16:00:00,2022-11-06 16:00:00,1
2022-11-07 08:00:00,2022-11-07 13:00:00,6
2022-11-07 15:00:00,2022-11-07 16:00:00,2
2022-11-08 00:00:00,2022-11-11 05:00:00,78
2022-11-11 07:00:00,2022-11-11 19:00:00,13
2022-11-11 21:00:00,2022-11-13 05:00:00,33
2022-11-13 07:00:00,2022-11-13 19:00:00,13
2022-11-13 21:00:00,2022-11-14 05:00:00,9
2022-11-14 07:00:00,2022-11-14 19:00:00,13
2022-11-14 21:00:00,2022-11-15 05:00:00,9
2022-11-15 07:00:00,2022-11-16 05:00:00,23
2022-11-16 07:00:00,2022-11-17 05:00:00,23
2022-11-17 07:00:00,2022-11-30 23:00:00,329
